Key,Description,en,fr
F/A-26B_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,Ciblage
F/A-26B_mfd_home:B5,Label for an MFD button (short!).,GPS,GPS
F/A-26B_mfd_home:B5_tooltip,Tooltip for an MFD button.,GPS Targets,Cibles GPS
F/A-26B_mfd_home:R2,Label for an MFD button (short!).,S-CAM,S-CAM
F/A-26B_mfd_home:R2_tooltip,Tooltip for an MFD button.,Spectator Camera,Camera Spectateur
F/A-26B_mfd_home:R3,Label for an MFD button (short!).,GAME,JEU
F/A-26B_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,Menu du Jeu
F/A-26B_mfd_home:R4,Label for an MFD button (short!).,LOG,LOG
F/A-26B_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Log,Journal de Vol
F/A-26B_mfd_home:L2,Label for an MFD button (short!).,EQUIP,EQUIP
F/A-26B_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,Equipement Monte
F/A-26B_mfd_home:L3,Label for an MFD button (short!).,OPTION,OPTION
F/A-26B_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,Options
F/A-26B_mfd_home:L4,Label for an MFD button (short!).,COMMS,COMMS
F/A-26B_mfd_home:L4_tooltip,Tooltip for an MFD button.,Communications,Communications
F/A-26B_mfd_home:T4,Label for an MFD button (short!).,RADAR,RADAR
F/A-26B_mfd_home:T4_tooltip,Tooltip for an MFD button.,Radar,Radar
F/A-26B_mfd_home:T5,Label for an MFD button (short!).,ARAD,ARAD
F/A-26B_mfd_home:T5_tooltip,Tooltip for an MFD button.,Anti-Radar Attack Display,Affichage d'Attaque Anti-Radar
F/A-26B_mfd_home:R5,Label for an MFD button (short!).,DATA,DONNEES
F/A-26B_mfd_home:R5_tooltip,Tooltip for an MFD button.,Flight Data,Donnees Vol
F/A-26B_mfd_home:L5,Label for an MFD button (short!).,CMS,CMS
F/A-26B_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasue System,Systeme de contre-mesures
F/A-26B_mfd_flightLog:R2_tooltip,Tooltip for an MFD button.,Scroll Up,Defiler vers Haut
F/A-26B_mfd_flightLog:R4_tooltip,Tooltip for an MFD button.,Scroll Down,Defiler vers Bas
F/A-26B_mfd_flightLog:R5_tooltip,Tooltip for an MFD button.,Scroll Bottom,Defiler tout en Bas
F/A-26B_mfd_flightLog:B3_tooltip,Tooltip for an MFD button.,Dump log to file.,Charger le journal dans un fichier.
dashMissionDisplay_noMissions,Label in the mission objectives display when the current mission has no objectives.,No objectives.,Aucun objectif.
F/A-26B_mfd_mission:B1,Label for an MFD button (short!).,WPT,WPT
F/A-26B_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,Definir un Waypoint
F/A-26B_mfd_mission:B3,Label for an MFD button (short!).,NEXT,SUIV
F/A-26B_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,Objectif Suiv
F/A-26B_mfd_mission:B5,Label for an MFD button (short!).,PREV,PREC
F/A-26B_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,Objectif Prece
F/A-26B_mfd_gpsTgts:T2,Label for an MFD button (short!).,MAP,CARTE
F/A-26B_mfd_gpsTgts:T2_tooltip,Tooltip for an MFD button.,Nav Map,Nav Carte
F/A-26B_mfd_gpsTgts:T3,Label for an MFD button (short!).,WPT,WPT
F/A-26B_mfd_gpsTgts:T3_tooltip,Tooltip for an MFD button.,Set Waypoints,Definir waypoints
F/A-26B_mfd_gpsTgts:L2_tooltip,Tooltip for an MFD button.,Previous Group,Groupe Prec
F/A-26B_mfd_gpsTgts:L3_tooltip,Tooltip for an MFD button.,Next Group,Groupe Suiv
F/A-26B_mfd_gpsTgts:B1_tooltip,Tooltip for an MFD button.,Create Group,Creer groupe
F/A-26B_mfd_gpsTgts:B2_tooltip,Tooltip for an MFD button.,Delete Group,Suppr groupe
F/A-26B_mfd_gpsTgts:B4_tooltip,Tooltip for an MFD button.,Delete Target,Suppr cible
F/A-26B_mfd_gpsTgts:R3_tooltip,Tooltip for an MFD button.,Next Target,Cible suiv
F/A-26B_mfd_gpsTgts:R2_tooltip,Tooltip for an MFD button.,Previous Target,Cible prec
F/A-26B_mfd_gpsTgts:R1_tooltip,Tooltip for an MFD button.,Toggle Path Mode,Changer mode traget
F/A-26B_mfd_gpsTgts:R4_tooltip,Tooltip for an MFD button.,Move Up,Monter
F/A-26B_mfd_gpsTgts:R5_tooltip,Tooltip for an MFD button.,MoveDown,Descendre
s_mfdGps_path,MFD GPS page PATH toggle button/label,PATH,TRAJET
F/A-26B_mfd_flyCam:B2,Label for an MFD button (short!).,START,START
F/A-26B_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,Start camera
F/A-26B_mfd_flyCam:B3,Label for an MFD button (short!).,END,ARRET
F/A-26B_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,Arret camera
F/A-26B_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,VUE
F/A-26B_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,Activer Apercu
F/A-26B_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,RANDM
F/A-26B_mfd_flyCam:R1_tooltip,Tooltip for an MFD button.,Toggle Random,Activer Random
F/A-26B_mfd_flyCam:L3,Label for an MFD button (short!).,FOV:,FOV :
F/A-26B_mfd_flyCam:L3_tooltip,Tooltip for an MFD button.,Toggle FOV,Activer FOV
F/A-26B_mfd_flyCam:L4,Label for an MFD button (short!).,,
F/A-26B_mfd_flyCam:L4_tooltip,Tooltip for an MFD button.,Toggle AutoFOV,Activer AutoFOV
F/A-26B_mfd_flyCam:L5,Label for an MFD button (short!).,,
F/A-26B_mfd_flyCam:L5_tooltip,Tooltip for an MFD button.,Toggle Audio,Activer Audio
F/A-26B_mfd_flyCam:R2,Label for an MFD button (short!).,MODE,MODE
F/A-26B_mfd_flyCam:R2_tooltip,Tooltip for an MFD button.,Toggle Cam Mode,Activer Cam Mode
F/A-26B_mfd_flyCam:R3,Label for an MFD button (short!).,LOOK,LOOK
F/A-26B_mfd_flyCam:R3_tooltip,Tooltip for an MFD button.,Toggle Look Mode,Activer Look Mode
F/A-26B_mfd_flyCam:R5,Label for an MFD button (short!).,,
F/A-26B_mfd_flyCam:R5_tooltip,Tooltip for an MFD button.,Toggle Auto-Reset,Activer Auto-Reset
F/A-26B_mfd_flyCam:B5,Label for an MFD button (short!).,,
F/A-26B_mfd_flyCam:B5_tooltip,Tooltip for an MFD button.,Cycle Reset Time,Cycle Reset Temps
F/A-26B_mfd_flyCam:T3,Label for an MFD button (short!).,SS,SS
F/A-26B_mfd_flyCam:T3_tooltip,Tooltip for an MFD button.,4K Screenshot,4K Screenshot
F/A-26B_mfd_radar:R2,Label for an MFD button (short!).,R+,R+
F/A-26B_mfd_radar:R2_tooltip,Tooltip for an MFD button.,Range +,Portee +
F/A-26B_mfd_radar:R3,Label for an MFD button (short!).,R-,R-
F/A-26B_mfd_radar:R3_tooltip,Tooltip for an MFD button.,Range -,Portee -
F/A-26B_mfd_radar:R4,Label for an MFD button (short!).,MODE,MODE
F/A-26B_mfd_radar:R4_tooltip,Tooltip for an MFD button.,Toggle Mode,Activer Mode
F/A-26B_mfd_radar:B1,Label for an MFD button (short!).,CLR,CLR
F/A-26B_mfd_radar:B1_tooltip,Tooltip for an MFD button.,Clear Tracks,Effacer Pistes
F/A-26B_mfd_radar:B2,Label for an MFD button (short!).,UNLCK,UNLCK
F/A-26B_mfd_radar:B2_tooltip,Tooltip for an MFD button.,Unlock,Unlock
F/A-26B_mfd_radar:B5_tooltip,Tooltip for an MFD button.,Scan Angle,Angle de balayage
F/A-26B_mfd_radar:T5,Label for an MFD button (short!).,SOI,SOI
F/A-26B_mfd_radar:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,Capteur d'interet
F/A-26B_mfd_radar:L2_tooltip,Tooltip for an MFD button.,Track 1,Piste 1
F/A-26B_mfd_radar:L3_tooltip,Tooltip for an MFD button.,Track 2,Piste 2
F/A-26B_mfd_radar:L4_tooltip,Tooltip for an MFD button.,Track 3,Piste 3
F/A-26B_mfd_radar:L5_tooltip,Tooltip for an MFD button.,Track 4,Piste 4
F/A-26B_mfd_antiRad:T5,Label for an MFD button (short!).,SOI,SOI
F/A-26B_mfd_antiRad:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,Capteur d'Interet
F/A-26B_mfd_antiRad:R4,Label for an MFD button (short!).,HUD,HUD
F/A-26B_mfd_antiRad:R4_tooltip,Tooltip for an MFD button.,HUD Mode,Mode HUD
F/A-26B_mfd_antiRad:R5_tooltip,Tooltip for an MFD button.,Declutter,Desencombrer
F/A-26B_mfd_gameMenu:B2,Label for an MFD button (short!).,RESTART,RESTART
F/A-26B_mfd_gameMenu:B2_tooltip,Tooltip for an MFD button.,Restart Mission,Redemarrer Mission
F/A-26B_mfd_gameMenu:B4,Label for an MFD button (short!).,EXIT,QUITTER
F/A-26B_mfd_gameMenu:B4_tooltip,Tooltip for an MFD button.,Return to Main,Retour Menu Principal
F/A-26B_mfd_gameMenu:R2,Label for an MFD button (short!).,CENTER,CENTRER
F/A-26B_mfd_gameMenu:R2_tooltip,Tooltip for an MFD button.,Recenter Seat,Recentrer Siege
F/A-26B_mfd_gameMenu:L3,Label for an MFD button (short!).,QSAVE,SAUVEGARDE RAPIDE
F/A-26B_mfd_gameMenu:L3_tooltip,Tooltip for an MFD button.,Quick Save Menu,Menu sauvegarde rapide
vpdt_MFDRecenterText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Sit comfortably
and press
[menu]
to recenter","Asseyez-vous confortablement 
et appuyez sur 
[menu] 
pour recentrer"
F/A-26B_mfd_quicksave:L3_tooltip,Tooltip for an MFD button.,Save,Sauvegarder
F/A-26B_mfd_quicksave:B4_tooltip,Tooltip for an MFD button.,Load,Charger
F/A-26B_mfd_quicksave:T5,Label for an MFD button (short!).,BACK,RETOUR
F/A-26B_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,Retour
F/A-26B_mfd_cmsPage:L4_tooltip,Tooltip for an MFD button.,Release Mode,Mode de Liberation
F/A-26B_mfd_cmsPage:B2,Label for an MFD button (short!).,-,-
F/A-26B_mfd_cmsPage:B2_tooltip,Tooltip for an MFD button.,- Release Rate,- Release Rate
F/A-26B_mfd_cmsPage:B4,Label for an MFD button (short!).,+,+
F/A-26B_mfd_cmsPage:B4_tooltip,Tooltip for an MFD button.,+ Release Rate,+ Release Rate
F/A-26B_mfd_map:T2,Label for an MFD button (short!).,GPS,GPS
F/A-26B_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,Cibles GPS
F/A-26B_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,ZOOM+
F/A-26B_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,ZOOM-
F/A-26B_mfd_map:R4,Label for an MFD button (short!).,UP,HAUT
F/A-26B_mfd_map:R5,Label for an MFD button (short!).,DOWN,BAS
F/A-26B_mfd_map:B4,Label for an MFD button (short!).,LEFT,GAUCHE
F/A-26B_mfd_map:B5,Label for an MFD button (short!).,RIGHT,DROITE
F/A-26B_mfd_map:R1,Label for an MFD button (short!).,RESET,RESET
F/A-26B_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,Reset Deplacement
F/A-26B_mfd_map:T4,Label for an MFD button (short!).,MODE,MODE
F/A-26B_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,Activer Mode Rotation
F/A-26B_mfd_map:T5,Label for an MFD button (short!).,SOI,SOI
F/A-26B_mfd_map:T5_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,Activer Capteur d'Interet
F/A-26B_mfd_map:L4,Label for an MFD button (short!).,FUEL,FUEL
F/A-26B_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,Definir Waypoint Carburant
F/A-26B_mfd_map:L3,Label for an MFD button (short!).,RTB,RTB
F/A-26B_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,Definir Waypoint Retour Base
F/A-26B_mfd_map:L2,Label for an MFD button (short!).,OBJ,OBJ
F/A-26B_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,Definir Waypoint Objectif
F/A-26B_mfd_map:B1,Label for an MFD button (short!).,ALT-,ALT-
F/A-26B_mfd_map:B1_tooltip,Tooltip for an MFD button.,Lower Target Alt,Abaisser Altitude Cible
F/A-26B_mfd_map:B2,Label for an MFD button (short!).,ALT+,ALT+
F/A-26B_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,Augmenter Altitude Cible
F/A-26B_mfd_map:B3,Label for an MFD button (short!).,GPS-S,GPS-S
F/A-26B_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,Envoyer Cible GPS
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,REPONSE :
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,Aucun Ennemi Trouve.
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,AWACS Pas Pret.
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,Pas d'AWACS Disponible
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,Image AWACS Demandee
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,Vecteur RTB Demande a AWACS
s_hostile,Prefix for AWACS bogey dope response,Hostile,Ennemi
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,Rearmement Non Disponible.
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,Pas a Station Rearmement. Retournez Base.
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,Veuillez Eteindre Moteurs.
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,Veuillez Desarmer Systeme Armes.
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,Veuillez Deconnecter Crochet Frein.
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,Station Occupee !
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,Veuillez Aller a Station Rearmement.
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,Vos Pilotes Occupes.
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,Certains Pilotes Occupes.
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,Pas de Pilotes.
commReply_s_wingmenOrbiting,A text reply in the communications menu.,Wingmen orbiting here.,Pilotes Orbite Ici.
commReply_s_wingmenEngaging,A text reply in the communications menu.,Wingmen engaging targets at will!,Pilotes Engagent Cibles a Volonte !
commReply_s_wingmenDisengaging,A text reply in the communications menu.,Wingmen disengaging from combat!,Pilotes Se Retirent Combat !
commReply_s_wingmenFormationSpread,A text reply in the communications menu.,Wingmen setting formation spread.,Pilotes Ajustent Formation.
commReply_s_wingman,A text reply in the communications menu.,Wingman,Pilote
commReply_s_attackingTSD,A text reply in the communications menu.,attacking your TSD target!,Attaque Cible TSD !
commReply_s_attackingRadar,A text reply in the communications menu.,attacking your radar target!,Attaque Cible Radar !
commReply_s_attackingTGP,A text reply in the communications menu.,attacking your TGP target!,Attaque Cible TGP !
commReply_s_attackingARAD,A text reply in the communications menu.,attacking your ARAD target!,Attaque Cible ARAD !
commReply_s_noWingmenForAttack,A text reply in the communications menu.,No wingmen available for attack.,Aucun Pilote Disponible Pr Attaque.
commReply_s_noTarget,A text reply in the communications menu.,No target selected.,Aucune Cible Selectionnee.
commReply_s_noAirfield,A text reply in the communications menu.,No airfield available.,Aucun Aerodrome Disponible.
commReply_s_cancellingATC,A text reply in the communications menu.,Cancelling ATC request.,Annulation Demande ATC.
commReply_s_acknowledged,A text reply in the communications menu.,Acknowledged,Accuse Reception
commReply_s_wingmenRTB,A text reply in the communications menu.,Your wingmen will RTB!,Vos Pilotes Retour Base !
commReply_s_clearedVerticalLanding,A text reply in the communications menu.,Cleared for vertical landing!,Autorise Atterrissage Vertical !
commReply_s_clearedVerticalTakeoff,A text reply in the communications menu.,Cleared for vertical take off!,Autorise Decollage Vertical !
commReply_s_landingDenied,A text reply in the communications menu.,Landing denied!,Atterrissage Refuse !
commReply_s_takeoffDenied,A text reply in the communications menu.,Take off denied!,Decollage Refuse !
commReply_s_reply_noPrevAtc,A text reply in the communications menu.,No previously contacted ATC available.,Aucun ATC Contacte Disponible.
MFDOptionPage:Wingmen / Combat,Title of an MFD option page,Wingmen / Combat,Pilotes / Combat
MFDOption:Attack Target,Label of an MFD option,Attack Target,Attaquer Cible
MFDOption:Disengage,Label of an MFD option,Disengage,Se Retirer
MFDOption:Engage,Label of an MFD option,Engage,Engager
MFDOptionPage:Wingmen / Flight,Title of an MFD option page,Wingmen / Flight,Pilotes / Vol
MFDOption:Orbit Here,Label of an MFD option,Orbit Here,Orbiter Ici
MFDOption:Form Up,Label of an MFD option,Form Up,Formation
MFDOption:Spread Close,Label of an MFD option,Spread Close,Ecartement Rapproche
MFDOption:Spread Med,Label of an MFD option,Spread Med,Ecartement Moyen
MFDOption:Spread Far,Label of an MFD option,Spread Far,Ecartement Eloigne
MFDOption:Go Refuel,Label of an MFD option,Go Refuel,Aller Faire Plein
MFDOption:RTB,Label of an MFD option,RTB,RTB
MFDOption:RTB & Re-arm,Label of an MFD option,RTB & Re-arm,RTB & Rearmement
MFDOptionPage:Wingmen / Equipment,Title of an MFD option page,Wingmen / Equipment,Pilotes / Equipement
MFDOption:Radar On,Label of an MFD option,Radar On,Radar Active
MFDOption:Radar Off,Label of an MFD option,Radar Off,Radar Desactive
MFDOptionPage:Wingmen,Title of an MFD option page,Wingmen,Pilotes
MFDOption:Combat,Label of an MFD option,Combat,Combat
MFDOption:Flight,Label of an MFD option,Flight,Vol
MFDOption:Equipment,Label of an MFD option,Equipment,Equipement
MFDOptionPage:Ground Crew,Title of an MFD option page,Ground Crew,Personnel Sol
MFDOption:Request Re-arm,Label of an MFD option,Request Re-arm,Demander Rearmement
MFDOptionPage:ATC,Title of an MFD option page,ATC,ATC
